SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,UnitPrice,LineTotal,OrderDate,DueDate,ShipDate,StatusId,OnlineOrderFlag,SalesPersonID,TerritoryID,ShipMethodID,TaxAmt,Freight,TotalDue
43659,1,1,776,2024.994,2024.994,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,194.125215,60.664129,2279.783176
43659,2,3,777,2024.994,6074.982,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,582.375644,181.992387,6839.349528
43659,3,1,778,2024.994,2024.994,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,194.125215,60.664129,2279.783176
43659,4,1,771,2039.994,2039.994,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,195.562449,61.113265,2296.661883
43659,5,1,772,2039.994,2039.994,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,195.562449,61.113265,2296.661883
43659,6,2,773,2039.994,4079.988,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,391.124898,122.226529,4593.323767
43659,7,1,774,2039.994,2039.994,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,195.562449,61.113265,2296.661883
43659,8,3,714,28.8404,86.5212,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,8.294163,2.591926,97.405655
43659,9,1,716,28.8404,28.8404,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,2.764064,0.86377,32.460834
43659,10,6,709,5.7,34.2,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,3.276658,1.023956,38.480675
43659,11,2,712,5.1865,10.373,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,0.993644,0.310514,11.66923
43659,12,4,711,20.1865,80.746,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,7.740167,2.418802,90.899596
43660,13,1,762,419.4589,419.4589,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,40.268004,12.583753,472.310063
43660,14,1,758,874.794,874.794,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,279,5,5,83.980171,26.243808,985.01728
43661,15,1,745,809.76,809.76,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,78.033721,24.385538,912.170519
43661,16,1,743,714.7043,714.7043,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,68.872021,21.522506,805.075367
43661,17,2,747,714.7043,1429.4086,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,137.747195,43.045998,1610.187599
43661,18,4,712,5.1865,20.746,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,1.996336,0.623855,23.336052
43661,19,4,715,28.8404,115.3616,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,11.117038,3.474074,129.951949
43661,20,2,742,722.5949,1445.1898,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,139.267312,43.521035,1627.956915
43661,21,3,775,2024.994,6074.982,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,585.427943,182.946232,6843.324945
43661,22,2,778,2024.994,4049.988,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,390.285296,121.964155,4562.21663
43661,23,2,711,20.1865,40.373,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,3.888598,1.215187,45.455533
43661,24,2,741,818.7,1637.4,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,157.789401,49.309188,1844.469766
43661,25,4,776,2024.994,8099.976,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,780.573745,243.929295,9124.470126
43661,26,2,773,2039.994,4079.988,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,393.177302,122.867907,4596.02257
43661,27,2,716,28.8404,57.6808,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,5.556942,1.736544,64.957542
43661,28,2,777,2024.994,4049.988,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,390.285296,121.964155,4562.21663
43661,29,5,708,20.1865,100.9325,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,9.726225,3.039445,113.694131
43662,30,3,764,419.4589,1258.3767,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,121.119284,37.849775,1417.33595
43662,31,5,770,419.4589,2097.2945,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,201.865473,63.082958,2362.226583
43662,32,2,730,183.9382,367.8764,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,35.408325,11.065101,414.347662
43662,33,4,754,874.794,3499.176,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,336.799526,105.249847,3941.222746
43662,34,3,725,183.9382,551.8146,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,53.1111,16.597218,621.505256
43662,35,5,762,419.4589,2097.2945,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,201.865473,63.082958,2362.226583
43662,36,3,765,419.4589,1258.3767,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,121.119284,37.849775,1417.33595
43662,37,2,768,419.4589,838.9178,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,80.746189,25.233183,944.890633
43662,38,1,753,2146.962,2146.962,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,206.647082,64.57721,2418.180891
43662,39,1,756,874.794,874.794,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,84.198494,26.312028,985.289449
43662,40,3,763,419.4589,1258.3767,2011-05-31 00:00:00.000,2011-06-12 00:00:00.000,2011-06-07 00:00:00.000,5,False,282,6,5,121.119284,37.849775,1417.33595
